2026-03-11 01:41:29.396 | INFO     | __main__:run_demo:35 - Initializing UI Agent demo...
2026-03-11 01:42:00.848 | INFO     | src.intelligence.perception.engine:__init__:23 - [VisionEngine] Initialized with model gemini-2.0-flash-exp
2026-03-11 01:42:00.912 | INFO     | src.kernel.interceptor:__init__:38 - [SafetyInterceptor] RulesEngine attached.
2026-03-11 01:42:01.047 | INFO     | src.kernel.bus:__init__:22 - [EventBus] Initialized at c:\Users\HP\Downloads\micro gravity - Copy\demo_workspace\storage\bus_logs
2026-03-11 01:42:01.048 | DEBUG    | src.kernel.loop:__init__:57 - [KernelLoop] EventBus ready.
2026-03-11 01:42:01.049 | DEBUG    | src.kernel.loop:__init__:59 - [KernelLoop] Initializing ScreenObserver...
2026-03-11 01:42:01.057 | DEBUG    | src.kernel.loop:__init__:61 - [KernelLoop] Initializing WindowObserver...
2026-03-11 01:42:01.060 | DEBUG    | src.kernel.loop:__init__:63 - [KernelLoop] Initializing GeminiLiveStreamer...
2026-03-11 01:42:39.928 | INFO     | src.intelligence.perception.engine:attach_live_streamer:27 - [VisionEngine] Live Streamer attached.
2026-03-11 01:43:37.225 | INFO     | src.kernel.introspection:__init__:112 - [IntrospectionEngine] Initialized with gemini-2.0-flash-exp.
2026-03-11 01:43:37.343 | DEBUG    | src.kernel.loop:__init__:72 - [KernelLoop] Observatory/Introspection ready.
2026-03-11 01:43:37.535 | DEBUG    | src.kernel.loop:__init__:73 - [KernelLoop] Perception stack ready.
2026-03-11 01:43:37.538 | DEBUG    | src.kernel.loop:__init__:76 - [KernelLoop] Initializing HUD...
2026-03-11 01:43:40.643 | INFO     | src.kernel.loop:__init__:83 - [KernelLoop] Initialized with Full Agentic Stack at OPERATOR Mode
2026-03-11 01:43:40.645 | INFO     | src.kernel.loop:run_task:108 - [KernelLoop] Starting task: Identify the main UI components on the current screen and find the Start Button.
2026-03-11 01:43:40.877 | INFO     | src.intelligence.planner.dispatcher:determine_strategy:22 - [Dispatcher] Analyzing task: Identify the main UI components on the current scr...
2026-03-11 01:43:40.878 | INFO     | src.intelligence.planner.dispatcher:determine_strategy:26 - [Dispatcher] Classification Strategy: DETERMINISTIC
2026-03-11 01:43:40.878 | WARNING  | src.kernel.loop:run_task:121 - [KernelLoop] Task classified as DETERMINISTIC. Bypassing heavy LLM reasoning loop.
2026-03-11 01:43:40.881 | DEBUG    | src.memory.profile_store:find_macro_for_task:97 - [UIProfileStore] No macro matched for task (best score: 0).
2026-03-11 01:43:40.882 | ERROR    | src.kernel.loop:run_task:132 - [KernelLoop] No matching macro found for deterministic task: 'Identify the main UI components on the current screen and find the Start Button.'
2026-03-11 01:43:40.885 | WARNING  | src.kernel.loop:run_task:133 - [KernelLoop] Falling back to exploratory OTA loop...
2026-03-11 01:43:40.886 | INFO     | src.kernel.loop:run_task:140 - [KernelLoop] Task classified as DETERMINISTIC. Engaging cognitive OTA loop.
2026-03-11 01:43:41.342 | INFO     | src.kernel.observatory:set_attention_mode:27 - [Observatory] Transitioning attention mode: DIFFUSED -> FOCUSED
